date,month_name,month,year,quarter,day_of_week
2025-12-06,December,12,2025,4,Saturday
2025-12-07,December,12,2025,4,Sunday
2025-12-08,December,12,2025,4,Monday
2025-12-09,December,12,2025,4,Tuesday
2025-12-10,December,12,2025,4,Wednesday
2025-12-11,December,12,2025,4,Thursday
2025-12-12,December,12,2025,4,Friday
2025-12-13,December,12,2025,4,Saturday
2025-12-14,December,12,2025,4,Sunday
2025-12-15,December,12,2025,4,Monday
2025-12-16,December,12,2025,4,Tuesday
2025-12-17,December,12,2025,4,Wednesday
2025-12-18,December,12,2025,4,Thursday
2025-12-19,December,12,2025,4,Friday
2025-12-20,December,12,2025,4,Saturday
2025-12-21,December,12,2025,4,Sunday
2025-12-22,December,12,2025,4,Monday
2025-12-23,December,12,2025,4,Tuesday
2025-12-24,December,12,2025,4,Wednesday
2025-12-25,December,12,2025,4,Thursday
2025-12-26,December,12,2025,4,Friday
2025-12-27,December,12,2025,4,Saturday
2025-12-28,December,12,2025,4,Sunday
2025-12-29,December,12,2025,4,Monday
2025-12-30,December,12,2025,4,Tuesday
2025-12-31,December,12,2025,4,Wednesday
